Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,MALE,18,2.8,165,0.041,10,Wed,Introductory,2019,0,16,1,1,0,0,0,1
Fall,FEMALE,16,3.769,129,0.192,10,Wed,Introductory,2020,0,29,1,1,0,0,0,1
Fall,FEMALE,16,2.461,55,0.373,11,Wed,Introductory,2018,1,2,1,0,0,0,0,1
Fall,FEMALE,15,4,131,0,12,Wed,Introductory,2020,0,4,1,1,0,0,0,1
Fall,MALE,16,4,122,0,9,Wed,Introductory,2020,0,3,1,1,0,0,0,1
Fall,MALE,16,2.687,137,-0.261,10,Wed,Intermediate,2018,0,7,0,0,1,0,0,1
Fall,MALE,12,2.75,154,0.205,7,Wed,Introductory,2020,0,3,1,1,0,0,0,1
Fall,FEMALE,18,4,127,0,6,Wed,Introductory,2021,0,20,1,1,0,0,0,1
Fall,MALE,16,2.714,132,0.033,1,Thu,Introductory,2019,0,44,1,1,0,0,0,0
Fall,FEMALE,19,4,133,0.031,2,Thu,Introductory,2019,0,3,1,1,0,0,0,0
Fall,MALE,12,3,133,-0.266,3,Thu,Introductory,2019,0,16,1,1,0,0,0,0
Fall,FEMALE,13,3.538,132,0.402,4,Thu,Intermediate,2018,0,1,0,1,0,0,0,0
Fall,MALE,18,3.666,159,-0.07,5,Thu,Introductory,2019,0,70,1,1,0,0,0,0
Fall,MALE,12,3.5,173,0.196,6,Thu,Introductory,2018,0,29,0,1,0,0,0,0
Fall,MALE,14,2.428,134,-0.372,5,Thu,Introductory,2018,0,16,0,1,0,0,0,0
Fall,FEMALE,13,2.1,126,-0.722,6,Thu,Introductory,2019,0,9,1,1,0,0,0,0
Fall,MALE,13,2.846,132,0.374,7,Thu,Introductory,2019,0,6,1,1,0,0,0,0
Fall,MALE,15,2.25,124,-0.572,5,Thu,Introductory,2020,0,3,1,1,0,0,0,0
Fall,FEMALE,13,2.8,153,-0.59,6,Thu,Introductory,2020,0,1,1,1,0,0,0,0
Fall,MALE,15,3.666,123,0.096,7,Thu,Introductory,2020,0,60,1,1,0,0,1,0
Fall,FEMALE,15,3.8,127,0.263,7,Thu,Introductory,2019,0,1,1,1,0,0,1,0
Fall,FEMALE,15,3.4,133,0.4,8,Thu,Intermediate,2018,0,2,0,0,1,0,1,0
