Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,2,FEMALE,22,3.75,44,3.781,-0.031,30,Wed,16,Introductory,2017,1,1,0,3
Fall 2016,2,MALE,13,4,145,3.384,0.616,28,Wed,16,Introductory,2020,0,3,1,20
Fall 2016,2,FEMALE,19,3.187,129,3.341,-0.154,29,Wed,16,Introductory,2020,0,3,1,2
Fall 2016,2,FEMALE,16,3.625,126,3.447,0.178,30,Wed,16,Introductory,2020,0,3,1,7
Fall 2016,2,FEMALE,13,2.692,132,2.881,-0.189,31,Wed,16,Introductory,2020,0,1,0,5
Fall 2016,2,FEMALE,12,3,130,3.15,-0.15,29,Wed,16,Intermediate,2018,0,1,0,19
Fall 2016,2,MALE,19,3.625,126,3.494,0.131,22,Wed,17,Introductory,2018,0,1,0,42
Fall 2016,2,MALE,16,3.307,125,3.213,0.094,22,Wed,17,Introductory,2018,0,1,0,32
Fall 2016,2,FEMALE,19,2.75,100,2.75,0,17,Wed,17,Introductory,2018,1,1,0,2
Fall 2016,2,FEMALE,16,2.666,143,3.353,-0.687,18,Wed,17,Advanced,2020,0,1,0,11
Fall 2016,2,MALE,14,2.785,140,3,-0.215,17,Wed,17,Introductory,2018,0,1,0,1
Fall 2016,2,MALE,17,3.529,145,3.761,-0.232,18,Wed,17,Introductory,2020,0,1,0,12
Fall 2016,2,MALE,13,3.307,119,2.579,0.728,19,Wed,17,Introductory,2021,0,1,0,3
Fall 2016,2,FEMALE,14,4,75,4,0,13,Wed,18,Introductory,2017,0,1,0,1
Fall 2016,2,FEMALE,15,3.466,124,3.38,0.086,11,Wed,18,Introductory,2018,0,2,1,10
Fall 2016,2,FEMALE,15,2.75,122,3.189,-0.439,12,Wed,18,Introductory,2018,0,2,1,7
Fall 2016,2,MALE,18,3.666,159,3.736,-0.07,11,Wed,18,Introductory,2019,0,1,0,71
Fall 2016,2,MALE,17,3.571,133,2.978,0.593,10,Wed,18,Introductory,2018,0,1,0,20
Fall 2016,2,MALE,15,2.25,137,2.722,-0.472,11,Wed,19,Advanced,2018,0,1,0,29
Fall 2016,2,FEMALE,12,3.25,144,3.225,0.025,11,Wed,19,Introductory,2018,0,1,0,9
Fall 2016,2,MALE,3,0,136,3.186,-3.186,12,Wed,19,Introductory,2018,0,1,0,35
Fall 2016,2,FEMALE,19,4,130,3.588,0.412,11,Wed,19,Introductory,2019,0,1,0,2
Fall 2016,2,MALE,18,2.8,165,2.759,0.041,10,Wed,20,Introductory,2019,0,1,0,16
Fall 2016,2,FEMALE,16,3.769,129,3.577,0.192,10,Wed,20,Introductory,2020,0,2,1,30
Fall 2016,2,FEMALE,16,2.461,55,2.088,0.373,11,Wed,20,Introductory,2018,1,2,1,2
Fall 2016,2,FEMALE,15,4,131,4,0,12,Wed,20,Introductory,2020,0,1,0,4
Fall 2016,2,MALE,16,4,122,4,0,9,Wed,20,Introductory,2020,0,1,0,3
Fall 2016,2,MALE,16,2.687,137,2.948,-0.261,10,Wed,20,Intermediate,2018,0,1,0,7
Fall 2016,2,MALE,12,2.75,154,2.545,0.205,7,Wed,21,Introductory,2020,0,1,0,3
Fall 2016,2,FEMALE,18,4,127,4,0,6,Wed,21,Introductory,2021,0,1,0,20
Fall 2016,2,MALE,16,2.714,132,2.681,0.033,1,Thu,8,Introductory,2019,0,1,0,45
Fall 2016,2,FEMALE,19,4,133,3.969,0.031,2,Thu,9,Introductory,2019,0,1,0,3
Fall 2016,2,MALE,12,3,133,3.266,-0.266,3,Thu,9,Introductory,2019,0,1,0,16
