Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,118,FEMALE,17,4,137,0.514,Wed,Introductory,2020,0,14,1,1,0,0,1,0
Fall,74,MALE,15,3.666,123,0.096,Wed,Introductory,2020,0,60,1,0,0,0,1,0
Fall,138,MALE,16,2.875,0,-0.442,Wed,Introductory,2018,0,49,1,1,0,0,1,0
Fall,121,MALE,16,2.687,138,-0.335,Wed,Introductory,2018,0,61,0,1,0,0,1,0
Fall,44,FEMALE,15,3.8,122,0.093,Wed,Introductory,2019,0,6,1,1,0,0,1,0
Fall,56,FEMALE,16,3.562,127,0.392,Wed,Introductory,2018,0,1,0,0,0,0,1,0
Fall,34,MALE,16,3.375,128,0.55,Wed,Introductory,2020,0,1,1,1,0,0,1,0
Fall,83,FEMALE,19,3.769,125,-0.006,Wed,Introductory,2018,0,40,0,0,0,0,1,0
Fall,128,FEMALE,16,3.625,133,0.252,Wed,Introductory,2020,0,49,1,1,0,0,1,0
Fall,25,MALE,20,2.5,126,0.355,Wed,Introductory,2019,0,4,1,1,0,0,1,0
Fall,77,MALE,16,3.076,123,-0.041,Wed,Introductory,2020,0,33,1,1,0,0,1,0
Fall,97,MALE,16,3.25,122,0.406,Wed,Introductory,2020,0,24,1,1,0,0,1,0
Fall,97,MALE,16,3.437,123,0.104,Wed,Introductory,2020,0,14,1,1,0,0,1,0
Fall,72,MALE,16,3.769,107,0.15,Wed,Introductory,2021,0,45,1,1,0,0,1,0
Fall,55,FEMALE,17,4,124,0.439,Wed,Introductory,2020,0,7,1,0,0,0,1,0
Fall,57,FEMALE,16,2.538,60,0.16,Wed,Introductory,2021,0,1,1,0,0,0,1,0
Fall,52,FEMALE,16,2,39,0.048,Wed,Introductory,2017,1,1,0,0,0,0,1,0
Fall,42,FEMALE,12,1.5,24,0.306,Wed,Introductory,2018,1,1,0,0,0,0,1,0
Fall,68,FEMALE,12,2.666,143,-0.799,Wed,Introductory,2021,0,6,1,1,0,0,1,0
Fall,98,FEMALE,13,4,32,0.725,Wed,Introductory,2017,1,1,0,0,0,0,1,0
Fall,50,FEMALE,22,3.75,44,-0.031,Wed,Introductory,2017,1,3,0,1,0,0,1,0
Fall,114,MALE,13,4,145,0.616,Wed,Introductory,2020,0,20,1,1,0,0,1,0
Fall,80,FEMALE,19,3.187,129,-0.154,Wed,Introductory,2020,0,2,1,0,0,0,1,0
Fall,85,FEMALE,16,3.625,126,0.178,Wed,Introductory,2020,0,7,1,0,0,0,1,0
Fall,82,FEMALE,13,2.692,132,-0.189,Wed,Introductory,2020,0,5,1,0,0,0,1,0
Fall,31,FEMALE,12,3,130,-0.15,Wed,Intermediate,2018,0,19,0,0,0,0,1,0
Fall,165,MALE,19,3.625,126,0.131,Wed,Introductory,2018,0,42,0,1,0,0,0,1
Fall,190,MALE,16,3.307,125,0.094,Wed,Introductory,2018,0,31,0,1,0,0,0,1
Fall,60,FEMALE,19,2.75,100,0,Wed,Introductory,2018,1,2,1,0,0,0,0,1
Fall,88,FEMALE,16,2.666,143,-0.687,Wed,Graduate,2020,0,11,1,1,0,0,0,1
Fall,63,MALE,14,2.785,140,-0.215,Wed,Introductory,2018,0,1,0,1,0,0,0,1
Fall,83,MALE,17,3.529,145,-0.232,Wed,Introductory,2020,0,12,1,1,0,0,0,1
Fall,238,MALE,13,3.307,119,0.728,Wed,Introductory,2021,0,3,1,1,0,0,0,1
Fall,46,FEMALE,14,4,75,0,Wed,Introductory,2017,0,1,0,1,0,0,0,1
Fall,129,FEMALE,15,3.466,124,0.086,Wed,Introductory,2018,0,10,0,0,0,0,0,1
Fall,128,FEMALE,15,2.75,122,-0.439,Wed,Introductory,2018,0,7,0,0,0,0,0,1
Fall,195,MALE,18,3.666,159,-0.07,Wed,Introductory,2019,0,70,1,1,0,0,0,1
Fall,67,MALE,17,3.571,133,0.593,Wed,Introductory,2018,0,20,0,1,0,0,0,1
Fall,57,MALE,15,2.25,137,-0.472,Wed,Advanced,2018,0,29,0,0,0,0,0,1
Fall,120,FEMALE,12,3.25,144,0.025,Wed,Introductory,2018,0,9,0,1,0,0,0,1
Fall,95,MALE,3,0,136,-3.186,Wed,Introductory,2018,0,35,0,1,0,0,0,1
Fall,72,FEMALE,19,4,130,0.412,Wed,Introductory,2019,0,2,1,1,0,0,0,1
Fall,54,MALE,18,2.8,165,0.041,Wed,Introductory,2019,0,16,1,1,0,0,0,1
Fall,37,FEMALE,16,3.769,129,0.192,Wed,Introductory,2020,0,29,1,1,0,0,0,1
Fall,19,FEMALE,16,2.461,55,0.373,Wed,Introductory,2018,1,2,1,0,0,0,0,1
Fall,50,FEMALE,15,4,131,0,Wed,Introductory,2020,0,4,1,1,0,0,0,1
Fall,7,MALE,16,4,122,0,Wed,Introductory,2020,0,3,1,1,0,0,0,1
Fall,26,MALE,16,2.687,137,-0.261,Wed,Intermediate,2018,0,7,0,0,1,0,0,1
Fall,61,MALE,12,2.75,154,0.205,Wed,Introductory,2020,0,3,1,1,0,0,0,1
Fall,47,FEMALE,18,4,127,0,Wed,Introductory,2021,0,20,1,1,0,0,0,1
Fall,151,MALE,16,2.714,132,0.033,Thu,Introductory,2019,0,44,1,1,0,0,0,0
Fall,58,FEMALE,19,4,133,0.031,Thu,Introductory,2019,0,3,1,1,0,0,0,0
Fall,97,MALE,12,3,133,-0.266,Thu,Introductory,2019,0,16,1,1,0,0,0,0
Fall,108,FEMALE,13,3.538,132,0.402,Thu,Intermediate,2018,0,1,0,1,0,0,0,0
Fall,118,MALE,18,3.666,159,-0.07,Thu,Introductory,2019,0,70,1,1,0,0,0,0
Fall,56,MALE,12,3.5,173,0.196,Thu,Introductory,2018,0,29,0,1,0,0,0,0
Fall,133,MALE,14,2.428,134,-0.372,Thu,Introductory,2018,0,16,0,1,0,0,0,0
