Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,114,MALE,18,3.833,138,0.659,19,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,33,FEMALE,18,2.285,139,0.266,20,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,63,FEMALE,14,2.545,125,-0.318,21,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,118,FEMALE,17,4,137,0.514,20,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,74,MALE,15,3.666,123,0.096,21,Wed,Introductory,2020,0,1,0,0,0,1,0
Fall,138,MALE,16,2.875,0,-0.442,21,Wed,Introductory,2018,0,1,1,0,0,1,0
Fall,121,MALE,16,2.687,138,-0.335,22,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,44,FEMALE,15,3.8,122,0.093,23,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,56,FEMALE,16,3.562,127,0.392,22,Wed,Introductory,2018,0,0,0,0,0,1,0
Fall,34,MALE,16,3.375,128,0.55,21,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,83,FEMALE,19,3.769,125,-0.006,21,Wed,Introductory,2018,0,0,0,0,0,1,0
Fall,128,FEMALE,16,3.625,133,0.252,22,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,25,MALE,20,2.5,126,0.355,23,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,77,MALE,16,3.076,123,-0.041,23,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,97,MALE,16,3.25,122,0.406,24,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,97,MALE,16,3.437,123,0.104,25,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,72,MALE,16,3.769,107,0.15,26,Wed,Introductory,2021,0,1,1,0,0,1,0
Fall,55,FEMALE,17,4,124,0.439,26,Wed,Introductory,2020,0,1,0,0,0,1,0
Fall,57,FEMALE,16,2.538,60,0.16,27,Wed,Introductory,2021,0,1,0,0,0,1,0
Fall,52,FEMALE,16,2,39,0.048,28,Wed,Introductory,2017,1,0,0,0,0,1,0
Fall,42,FEMALE,12,1.5,24,0.306,29,Wed,Introductory,2018,1,0,0,0,0,1,0
Fall,68,FEMALE,12,2.666,143,-0.799,29,Wed,Introductory,2021,0,1,1,0,0,1,0
Fall,98,FEMALE,13,4,32,0.725,30,Wed,Introductory,2017,1,0,0,0,0,1,0
Fall,50,FEMALE,22,3.75,44,-0.031,30,Wed,Introductory,2017,1,0,1,0,0,1,0
Fall,114,MALE,13,4,145,0.616,28,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,80,FEMALE,19,3.187,129,-0.154,29,Wed,Introductory,2020,0,1,0,0,0,1,0
Fall,85,FEMALE,16,3.625,126,0.178,30,Wed,Introductory,2020,0,1,0,0,0,1,0
Fall,82,FEMALE,13,2.692,132,-0.189,31,Wed,Introductory,2020,0,1,0,0,0,1,0
Fall,31,FEMALE,12,3,130,-0.15,29,Wed,Intermediate,2018,0,0,0,0,0,1,0
Fall,165,MALE,19,3.625,126,0.131,22,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,190,MALE,16,3.307,125,0.094,22,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,60,FEMALE,19,2.75,100,0,17,Wed,Introductory,2018,1,1,0,0,0,0,1
Fall,88,FEMALE,16,2.666,143,-0.687,18,Wed,Graduate,2020,0,1,1,0,0,0,1
Fall,63,MALE,14,2.785,140,-0.215,17,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,83,MALE,17,3.529,145,-0.232,18,Wed,Introductory,2020,0,1,1,0,0,0,1
Fall,238,MALE,13,3.307,119,0.728,19,Wed,Introductory,2021,0,1,1,0,0,0,1
Fall,46,FEMALE,14,4,75,0,13,Wed,Introductory,2017,0,0,1,0,0,0,1
Fall,129,FEMALE,15,3.466,124,0.086,11,Wed,Introductory,2018,0,0,0,0,0,0,1
Fall,128,FEMALE,15,2.75,122,-0.439,12,Wed,Introductory,2018,0,0,0,0,0,0,1
Fall,195,MALE,18,3.666,159,-0.07,11,Wed,Introductory,2019,0,1,1,0,0,0,1
Fall,67,MALE,17,3.571,133,0.593,10,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,57,MALE,15,2.25,137,-0.472,11,Wed,Advanced,2018,0,0,0,0,0,0,1
Fall,120,FEMALE,12,3.25,144,0.025,11,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,95,MALE,3,0,136,-3.186,12,Wed,Introductory,2018,0,0,1,0,0,0,1
Fall,72,FEMALE,19,4,130,0.412,11,Wed,Introductory,2019,0,1,1,0,0,0,1
Fall,54,MALE,18,2.8,165,0.041,10,Wed,Introductory,2019,0,1,1,0,0,0,1
Fall,37,FEMALE,16,3.769,129,0.192,10,Wed,Introductory,2020,0,1,1,0,0,0,1
Fall,19,FEMALE,16,2.461,55,0.373,11,Wed,Introductory,2018,1,1,0,0,0,0,1
